# step, acceptance, delta_H
255, 0.640625, 0.915143
256, -0.661187, 0.642023
256, 0.642023, -0.661187
257, 0.628007, 0.643411
257, 0.643411, 0.628007
258, 0.726899, 0.644788
258, 0.644788, 0.726899
259, -1.76583, 0.646154
259, 0.646154, -1.76583
260, 1.02706, 0.643678
260, 0.643678, 1.02706
261, -0.384461, 0.645038
261, 0.645038, -0.384461
262, -1.21267, 0.646388
262, 0.646388, -1.21267
263, 0.502349, 0.643939
263, 0.643939, 0.502349
264, 1.41107, 0.641509
264, 0.641509, 1.41107
265, 2.34128, 0.642857
265, 0.642857, 2.34128
266, -0.785977, 0.644195
266, 0.644195, -0.785977
267, -0.347492, 0.645522
267, 0.645522, -0.347492
268, -0.146661, 0.64684
268, 0.64684, -0.146661
269, 0.716918, 0.648148
269, 0.648148, 0.716918
270, 1.05447, 0.649446
270, 0.649446, 1.05447
271, 0.687109, 0.647059
271, 0.647059, 0.687109
272, 1.21196, 0.644689
272, 0.644689, 1.21196
273, -1.13282, 0.645985
273, 0.645985, -1.13282
274, 1.5003, 0.643636
274, 0.643636, 1.5003
275, -0.191533, 0.644928
275, 0.644928, -0.191533
276, 0.937264, 0.642599
276, 0.642599, 0.937264
277, 0.847425, 0.643885
277, 0.643885, 0.847425
278, 0.282971, 0.645161
278, 0.645161, 0.282971
279, 2.5768, 0.642857
279, 0.642857, 2.5768
280, -0.995824, 0.644128
280, 0.644128, -0.995824
281, 1.85587, 0.641844
281, 0.641844, 1.85587
282, 0.788641, 0.639576
282, 0.639576, 0.788641
283, 1.94457, 0.637324
283, 0.637324, 1.94457
284, 2.4488, 0.635088
284, 0.635088, 2.4488
285, 1.48638, 0.632867
285, 0.632867, 1.48638
286, 1.40928, 0.634146
286, 0.634146, 1.40928
287, 1.84316, 0.631944
287, 0.631944, 1.84316
288, 1.43034, 0.629758
288, 0.629758, 1.43034
289, 2.34091, 0.627586
289, 0.627586, 2.34091
290, 1.47793, 0.62543
290, 0.62543, 1.47793
291, 0.155287, 0.626712
291, 0.626712, 0.155287
292, 0.647762, 0.627986
292, 0.627986, 0.647762
293, -0.112059, 0.629252
293, 0.629252, -0.112059
294, 0.848832, 0.630508
294, 0.630508, 0.848832
295, 2.39389, 0.628378
295, 0.628378, 2.39389
296, 2.90229, 0.626263
296, 0.626263, 2.90229
297, -0.793166, 0.627517
297, 0.627517, -0.793166
298, 1.56344, 0.628763
298, 0.628763, 1.56344
299, 2.20708, 0.63
299, 0.63, 2.20708
